supplier_id,company_name,contact_person,contact_email,phone_number,address,city,country,credit_limit,payment_terms
84,Newton and Sons,Debra Christian,christopher13@chapman-warren.biz,921.526.4647x1543,446 York Mount Suite 374,West Karen,Holy See (Vatican City State),39915,Due on Receipt
85,Campbell-Clark,Angelica Keith,julie35@jones.com,812.440.6596x575,108 Hoffman Ranch Suite 417,West Frances,Malaysia,24262,Net 30
86,Harris-Walters,John Bishop,rebeccabailey@mullen.com,759-837-5265x4793,4544 Lopez Path,Port Bryan,Spain,17371,Net 60
87,Wagner-King,Allen Rosales,jonathanthompson@wolf.com,565-919-3982x807,96520 Bright Green,Jamesside,Malawi,10755,Net 60
88,Davis Group,Daniel Salinas,stephanieburton@webster-wolf.info,916-872-4342x6617,6099 Matthew Station Apt. 875,West Lisaville,Kiribati,46201,Due on Receipt
89,Williams-Cook,Spencer Haynes,michelle52@jones-ramos.com,+1-386-580-5891,82417 Joyce Stream Apt. 513,Lake Deborah,Libyan Arab Jamahiriya,41192,Net 30
90,Walsh LLC,Adam Vaughan,brittany58@collins.com,+1-552-990-9656x10143,46554 Ford Crest Suite 099,Youngport,Aruba,9816,Net 60
91,Figueroa PLC,Nathan Freeman,woodjustin@lin.net,(367)398-2507x146,3816 Gutierrez Ways,South Paulmouth,French Polynesia,36183,Net 30
92,"Patterson, Smith and Jones",Melissa Brewer,jford@huang.com,001-925-745-7387x5717,35697 Leslie Stravenue,North Juliaborough,Ukraine,29330,Net 30
93,"Mckee, Gardner and Davenport",Ricky Davis II,cassidy82@hayes.com,440-410-5123,75250 Shannon Fords,Greerstad,Pakistan,12251,Net 30
94,"Tran, Jordan and Williams",Elizabeth Perkins,benjaminzimmerman@warren-bishop.com,886-873-6226x60937,271 Christina Roads,Port Jenny,Congo,42126,Net 60
95,Nolan-Flynn,Joseph Coleman,samantha66@shelton-williams.com,7337419182,6760 Amanda Street Suite 058,West Shane,Gibraltar,25286,Due on Receipt
96,Nolan and Sons,Erin Warner,riveraangela@mitchell-cummings.org,871.347.8596,03354 Curtis Parkway,East Sydneyhaven,Malaysia,14629,Net 30
97,"Wright, Garcia and Deleon",David Martinez,mathewaguilar@rangel.biz,(557)692-4991x251,10447 Hamilton Spur Apt. 575,South Billyview,Belize,39526,Net 60
98,Dickson-Brady,Bryan Herrera,brookehurley@hansen-schneider.com,825-828-6692,60332 Jessica Radial,Davidshire,Yemen,44209,Net 60
99,Hancock and Sons,Cathy Robinson,elizabethcalderon@osborn.biz,(478)728-2742,50648 Brittney Causeway,Adammouth,Bhutan,26415,Net 60
100,Johnson-Doyle,Dr. William Warren,andrew42@peterson.com,890.950.7236x887,001 Wallace Crossing,North Eric,Chad,41826,Net 60
